,timestamp,app,n_b_written,r_sectors,w_r_d,disk_id,cum_sum,AFR_SSDs,mttf_SDDs,MTTFMes_SSDs,MTTFDia_SSDs,MTTFTest_SSDs
4347,2019-05-03,none,721039618753.6193,9.773235831809872,466.67553930530164,1.0,193.0,0.0096446713190962,908273.5647668394,1244.2103626943006,37844.73186528497,2.518134715025907
4356,2019-05-04,none,718230139369.9509,9.880228687219569,464.2831089882762,0.0,193.0,0.009625516429459843,910081.0397236615,1246.6863557858376,37920.04332181923,2.523316062176166
4365,2019-05-05,none,724092534872.4783,9.798401876695257,467.3051829044791,0.0,193.0,0.009605792010547017,911949.7892918825,1249.2462867012089,37997.90788716177,2.528497409326425
4374,2019-05-06,none,736127838103.707,9.860102472711072,476.3371203683077,0.0,193.0,0.00958614826410418,913818.5388601036,1251.8062176165802,38075.772452504316,2.533678756476684
4383,2019-05-07,none,720251173005.2772,9.826476755115321,466.61752584773336,0.0,193.0,0.009566584696218254,915687.2884283245,1254.3661485319515,38153.63701784686,2.538860103626943
4392,2019-05-08,none,724567010253.6667,9.917841057678338,469.23652477117537,0.0,193.0,0.009547100816999885,917556.0379965458,1256.926079447323,38231.501583189405,2.5440414507772022
4401,2019-05-09,none,730022306294.0417,9.917086711958508,472.57549857549856,0.0,193.0,0.009527696140542571,919424.7875647666,1259.486010362694,38309.36614853194,2.5492227979274613
4410,2019-05-10,none,723065897428.0251,9.700810771680903,468.4095120891849,1.0,194.0,0.009557636351643287,916544.6013745704,1255.5405498281787,38189.3583906071,2.5412371134020617
4419,2019-05-11,none,733139080184.3702,10.064199340417735,474.92847196775375,0.0,194.0,0.009538932475448587,918341.7560137456,1258.0024054982816,38264.23983390607,2.5463917525773194
4428,2019-05-12,none,738218291856.2036,10.036917293233083,476.3245864661654,0.0,194.0,0.009519661904791114,920200.7474226804,1260.548969072165,38341.69780927835,2.551546391752577
4437,2019-05-13,none,733540753096.8242,9.75014585764294,475.4561697782964,0.0,194.0,0.009500469038047582,922059.7388316152,1263.0955326460482,38419.15578465063,2.556701030927835
4446,2019-05-14,none,727495759315.0989,9.517231371979975,471.3870710295291,3.0,197.0,0.009627972273286165,909848.9018612521,1246.368358714044,37910.370910885504,2.5228426395939088
4455,2019-05-15,none,721313173212.3566,9.540040328388304,468.6228575543713,0.0,197.0,0.00961058432677938,911495.0456852793,1248.6233502538073,37978.96023688664,2.527918781725888
4464,2019-05-16,none,738202477760.0333,9.778598595669983,478.49824458747804,2.0,199.0,0.00968869849295027,904146.2077051925,1238.5564489112226,37672.75865438302,2.507537688442211
4473,2019-05-17,none,748114719013.2937,9.714243542435424,485.8314391143911,0.0,199.0,0.009670626349892008,905835.8458961475,1240.8710217755445,37743.160245672814,2.512562814070352
4482,2019-05-18,none,741170913123.1123,9.838381621305238,481.3619402985075,0.0,199.0,0.009651323702487034,907647.5175879397,1243.3527638190956,37818.646566164156,2.5175879396984926
