,disk_id,failure_time,model_y,app
342,564.0,2018-10-30 00:40:49,B2,WSM
343,43026.0,2018-03-14 12:12:32,B2,none
344,10577.0,2018-02-23 09:11:03,B2,none
345,18295.0,2018-03-22 02:22:41,B2,WSM
346,9283.0,2019-02-19 10:00:51,B2,WSM
347,47912.0,2018-05-18 13:56:28,B2,none
348,24195.0,2019-12-29 05:38:19,B2,WSM
349,24196.0,2018-07-02 03:36:19,B2,WSM
350,11477.0,2018-05-21 00:01:52,B2,WSM
351,33236.0,2019-11-07 13:30:45,B2,WSM
352,40297.0,2019-02-18 20:30:20,B2,WSM
353,45300.0,2019-07-20 13:34:05,B2,RM
354,45589.0,2018-09-19 06:28:49,B2,WSM
355,16128.0,2019-07-25 17:17:50,B2,WSM
356,40639.0,2019-11-20 21:19:43,B2,WSM
357,3098.0,2018-09-28 12:09:08,B2,WSM
358,11991.0,2019-02-05 09:09:11,B2,none
359,46539.0,2019-06-14 01:35:54,B2,WSM
360,28.0,2018-09-06 06:17:16,B2,WSM
361,42035.0,2018-02-21 04:12:19,B2,WSM
362,8836.0,2019-11-11 08:18:38,B2,WSM
363,37021.0,2019-01-28 06:42:29,B2,none
364,28353.0,2018-01-05 02:10:51,B2,none
365,26285.0,2018-08-31 21:37:26,B2,none
366,24541.0,2018-08-15 00:13:47,B2,WSM
367,1245.0,2019-06-14 03:14:47,B2,none
368,6952.0,2019-06-13 21:49:10,B2,WSM
369,6945.0,2019-06-13 21:49:10,B2,WSM
370,6944.0,2019-06-13 21:49:10,B2,WSM
371,6943.0,2019-06-13 21:49:10,B2,WSM
372,6948.0,2019-06-13 21:49:10,B2,WSM
373,6950.0,2019-06-13 21:49:10,B2,WSM
374,6946.0,2019-06-13 21:49:10,B2,WSM
375,6954.0,2019-06-13 21:49:10,B2,WSM
376,6949.0,2019-06-13 21:49:10,B2,WSM
377,6953.0,2019-06-13 21:49:10,B2,WSM
378,43672.0,2019-06-30 13:09:45,B2,WSM
379,36507.0,2018-05-24 19:32:36,B2,WSM
380,24314.0,2018-12-25 18:14:26,B2,WSM
381,13904.0,2019-07-08 15:35:03,B2,WSM
382,45894.0,2018-07-14 01:01:43,B2,none
383,16738.0,2019-01-03 21:22:43,B2,none
384,21087.0,2018-12-27 02:10:20,B2,WSM
385,32655.0,2019-11-03 04:05:19,B2,RM
386,43193.0,2018-09-12 21:06:18,B2,none
387,39065.0,2018-05-16 00:41:59,B2,WSM
388,35819.0,2019-10-18 03:17:53,B2,WSM
389,28967.0,2019-01-01 23:37:51,B2,none
390,22883.0,2018-12-30 21:25:25,B2,none
391,22666.0,2019-12-27 12:30:05,B2,none
392,6806.0,2018-05-24 19:32:38,B2,WSM
393,21899.0,2018-07-26 04:54:33,B2,NAS
394,34270.0,2019-03-22 15:02:25,B2,WSM
395,29516.0,2019-04-09 02:57:19,B2,WSM
396,24117.0,2018-06-03 04:07:59,B2,NAS
397,2539.0,2018-05-24 19:32:39,B2,WSM
398,3315.0,2019-11-25 07:27:35,B2,WSM
399,12514.0,2018-05-24 19:32:41,B2,WSM
400,18640.0,2019-05-13 06:04:59,B2,WSM
401,23620.0,2018-06-29 08:20:01,B2,WSM
402,8552.0,2018-05-07 09:10:31,B2,none
403,224.0,2019-08-20 22:43:46,B2,WSM
404,35881.0,2018-10-07 16:06:45,B2,WSM
405,18503.0,2018-11-18 09:13:13,B2,WSM
406,44155.0,2018-08-09 06:15:25,B2,WSM
407,5112.0,2019-09-01 21:13:49,B2,WSM
408,40171.0,2018-10-04 04:51:24,B2,WSM
409,3943.0,2019-08-22 10:00:27,B2,WSM
410,8003.0,2019-01-23 02:05:30,B2,WSM
411,30259.0,2019-10-09 03:44:05,B2,none
412,36776.0,2018-05-31 04:06:14,B2,WSM
413,31619.0,2019-03-19 18:20:28,B2,WSM
414,14215.0,2018-03-08 13:51:02,B2,WSM
415,27327.0,2019-05-29 07:55:59,B2,WSM
